GEMS Contest ID,Contest Sort Seq,District Type,District Type Subheading,District Name,Ballot Title,Ballots Counted for District,Registered Voters for District,Percent Turnout for District,Candidate Sort Seq,Ballot Response,Party Preference,Votes,Percent of Votes
297,2390,Special Purpose District,Fire District,King County Fire Protection District No. 34,Commissioner Position No. 3,8376,14608,"57.34 ",10,Joe Pylant,,4858,"99.35 "
297,2390,Special Purpose District,Fire District,King County Fire Protection District No. 34,Commissioner Position No. 3,8376,14608,"57.34 ",20,Write-in,,32,"0.65 "
208,1500,City,,City of Snoqualmie,Council Position No. 5,3806,7723,"49.28 ",20,Matt Laase,,2196,"66.77 "
208,1500,City,,City of Snoqualmie,Council Position No. 5,3806,7723,"49.28 ",30,Write-in,,4,"0.12 "
208,1500,City,,City of Snoqualmie,Council Position No. 5,3806,7723,"49.28 ",10,Terry Sorenson,,1089,"33.11 "
385,3270,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 5,2428,6274,"38.70 ",20,Write-in,,25,"1.60 "
385,3270,Special Purpose District,Community Municipal Corporation,East Bellevue Community Municipal Corporation,Council Position No. 5,2428,6274,"38.70 ",10,Ross V. Gooding,,1537,"98.40 "
349,2910,Special Purpose District,Sewer & Water District,Sammamish Plateau Water and Sewer District,Commissioner Position No. 4,15879,37212,"42.67 ",20,Write-in,,77,"0.78 "
349,2910,Special Purpose District,Sewer & Water District,Sammamish Plateau Water and Sewer District,Commissioner Position No. 4,15879,37212,"42.67 ",10,Lloyd Warren,,9790,"99.22 "
230,1454,City,,Town of Skykomish,Council Position No. 4,57,116,"49.14 ",20,Write-in,,1,"2.13 "
230,1454,City,,Town of Skykomish,Council Position No. 4,57,116,"49.14 ",10,Frank Martin,,46,"97.87 "
252,1940,School,,Skykomish School District No. 404,Director Position No. 2,145,356,"40.73 ",10,John E. Robinson,,108,"95.58 "
252,1940,School,,Skykomish School District No. 404,Director Position No. 2,145,356,"40.73 ",20,Write-in,,5,"4.42 "
313,2550,Special Purpose District,Fire District,Shoreline Fire Department,Commissioner Position No. 1,14463,37451,"38.62 ",10,Jon Kennison,,8744,"98.45 "
